Full,8,256,3262906112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full,8,256,3262906112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full,8,256,3262906112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full,8,256,3262906112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full,8,256,3262906112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basic,8,256,70342912,1099140,32,1099108,0,0,0,0,0,0,0,0,0,0,0
Basic,8,256,70342912,1099140,32,1099108,0,0,0,0,0,0,0,0,0,0,0
Basic,8,256,70342912,1099140,32,1099108,0,0,0,0,0,0,0,0,0,0,0
Basic,8,256,70342912,1099140,32,1099108,0,0,0,0,0,0,0,0,0,0,0
Basic,8,256,70342912,1099140,32,1099108,0,0,0,0,0,0,0,0,0,0,0
List,8,256,512512,2190280,32,8008,40,2106808,4360,792,168,70072,0,0,0,0,0
List,8,256,512512,2190280,32,8008,40,2106808,4360,792,168,70072,0,0,0,0,0
List,8,256,512512,2190280,32,8008,40,2106808,4360,792,168,70072,0,0,0,0,0
List,8,256,512512,2190280,32,8008,40,2106808,4360,792,168,70072,0,0,0,0,0
List,8,256,512512,2190280,32,8008,40,2106808,4360,792,168,70072,0,0,0,0,0
TreeLowOffset,8,256,512512,274032,32,5320,40,194936,4360,792,168,68384,0,0,0,0,0
TreeLowOffset,8,256,512512,274032,32,5320,40,194936,4360,792,168,68384,0,0,0,0,0
TreeLowOffset,8,256,512512,274032,32,5320,40,194936,4360,792,168,68384,0,0,0,0,0
TreeLowOffset,8,256,512512,274032,32,5320,40,194936,4360,792,168,68384,0,0,0,0,0
TreeLowOffset,8,256,512512,274032,32,5320,40,194936,4360,792,168,68384,0,0,0,0,0
TreeLowRoot,8,256,512512,273764,32,5220,40,194936,4360,792,168,68216,0,0,0,0,0
TreeLowRoot,8,256,512512,273952,32,5288,40,194936,4360,792,168,68336,0,0,0,0,0
TreeLowRoot,8,256,512512,273772,32,5260,40,194936,4360,792,168,68184,0,0,0,0,0
TreeLowRoot,8,256,512512,273872,32,5296,40,194936,4360,792,168,68248,0,0,0,0,0
TreeLowRoot,8,256,512512,273808,32,5256,40,194936,4360,792,168,68224,0,0,0,0,0
