Approach,Rank,Chkpt ID,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
List,0,0,256,3489621044,220214456,5345640448,16743807112.658812,15.846466700623868,0.20841263999999998
List,0,0,512,3489621044,223080284,4791992320,23005049754.646584,15.642893138866544,0.15168935
List,0,0,512,3489621044,223080284,4791992320,22262366454.35802,15.642893138866544,0.15674978
List,0,0,512,3489621044,223080284,4791992320,23659291470.32633,15.642893138866544,0.14749474
List,0,0,1024,3489621044,282210692,4611637248,25973320374.53874,12.365304160765106,0.13435406
List,0,0,1024,3489621044,282210692,4611637248,24963595291.16865,12.365304160765106,0.1397884
List,0,0,1024,3489621044,282210692,4611637248,25628301564.61982,12.365304160765106,0.13616279
List,0,0,2048,3489621044,394324332,4580179968,21600660470.13217,8.849621392372002,0.16155159
List,0,0,2048,3489621044,394324332,4580179968,22338850224.469013,8.849621392372002,0.1562131
List,0,0,2048,3489621044,394324332,4580179968,21612528179.851616,8.849621392372002,0.16146288
List,0,0,4096,3489621044,556019400,4643094528,17217896774.752525,6.276077856276238,0.20267406000000002
List,0,0,4096,3489621044,556019400,4634705920,17010374696.381804,6.276077856276238,0.20514663
List,0,0,4096,3489621044,556019400,4634705920,12586873444.685038,6.276077856276238,0.27724287999999997
TreeLowOffset,0,0,32,3489621044,890182884,19421724672,1862077655.469687,3.920116985758625,1.8740469999999998
TreeLowOffset,0,0,32,3489621044,890182884,19421724672,1861239423.5184875,3.920116985758625,1.8748909999999999
TreeLowOffset,0,0,32,3489621044,890182884,19421724672,1848530652.6551542,3.920116985758625,1.8877810000000002
TreeLowOffset,0,0,64,3489621044,478301400,11750342656,3454146954.774466,7.2958620735795465,1.01027
TreeLowOffset,0,0,64,3489621044,478301400,11750342656,3602896097.2990828,7.2958620735795465,0.9685600000000001
TreeLowOffset,0,0,64,3489621044,478301400,11750342656,3457185727.5045524,7.2958620735795465,1.009382
TreeLowOffset,0,0,128,3489621044,289225444,7929331712,6151312353.1413,12.065401286063892,0.5672969999999999
TreeLowOffset,0,0,128,3489621044,289225444,7929331712,6722750338.871119,12.065401286063892,0.5190764
TreeLowOffset,0,0,128,3489621044,289225444,7929331712,6590034642.041056,12.065401286063892,0.52953
TreeLowOffset,0,0,256,3489621044,219357520,6048186368,11117904139.877787,15.908372067663784,0.313874
TreeLowOffset,0,0,256,3489621044,219357520,6048186368,11234850763.086964,15.908372067663784,0.3106068
TreeLowOffset,0,0,256,3489621044,219357520,6048186368,11938172857.515263,15.908372067663784,0.2923078
TreeLowOffset,0,0,512,3489621044,222481816,5221908480,16693644312.135208,15.684971952943785,0.20903889999999997
TreeLowOffset,0,0,512,3489621044,222481816,5192548352,17036819363.739952,15.684971952943785,0.20482820000000002
TreeLowOffset,0,0,512,3489621044,222481816,5192548352,17006447771.377333,15.684971952943785,0.205194
TreeLowOffset,0,0,1024,3489621044,281777356,4819255296,21806737851.421867,12.384320349716107,0.16002490000000003
TreeLowOffset,0,0,1024,3489621044,281777356,4819255296,21413565672.228867,12.384320349716107,0.1629631
TreeLowOffset,0,0,1024,3489621044,281777356,4819255296,7591421945.0726,12.384320349716107,0.45967949999999996
TreeLowOffset,0,0,2048,3489621044,393985736,4672454656,20070011364.655922,8.857226861634402,0.17387239999999998
TreeLowOffset,0,0,2048,3489621044,393985736,4672454656,18044773707.40919,8.857226861634402,0.1933868
TreeLowOffset,0,0,2048,3489621044,393985736,4672454656,20672596084.694576,8.857226861634402,0.1688042
TreeLowOffset,0,0,4096,3489621044,555743816,4693426176,16604433931.919186,6.279190057600209,0.21016200000000002
TreeLowOffset,0,0,4096,3489621044,555743816,4693426176,16613216339.468197,6.279190057600209,0.21005089999999998
TreeLowOffset,0,0,4096,3489621044,555743816,4697620480,16848549583.085886,6.279190057600209,0.20711700000000002
Full,0,1,32,3489621044,3489621044,4007657472,2810224177.8313184,1.0,1.2417589569999998
Full,0,1,32,3489621044,3489621044,4007657472,3412082396.2202244,1.0,1.022724729
Full,0,1,32,3489621044,3489621044,4007657472,3390630172.0619783,1.0,1.02919542
Full,0,1,64,3489621044,3489621044,4007657472,3431363677.4635725,1.0,1.016977905
Full,0,1,64,3489621044,3489621044,4007657472,3233714420.949856,1.0,1.079137051
Full,0,1,64,3489621044,3489621044,4007657472,3442261144.9730973,1.0,1.013758369
Full,0,1,128,3489621044,3489621044,4007657472,3360568874.6238236,1.0,1.0384018819999998
Full,0,1,128,3489621044,3489621044,4007657472,3449743639.2589087,1.0,1.011559527
Full,0,1,128,3489621044,3489621044,4007657472,3438830826.328503,1.0,1.014769618
Full,0,1,256,3489621044,3489621044,4007657472,3464440915.791278,1.0,1.007268165
Full,0,1,256,3489621044,3489621044,4007657472,3451458669.314059,1.0,1.011056883
Full,0,1,256,3489621044,3489621044,4007657472,3359586081.003795,1.0,1.03870565
Full,0,1,512,3489621044,3489621044,4007657472,3391313100.282354,1.0,1.028988165
Full,0,1,512,3489621044,3489621044,4007657472,3453366685.394556,1.0,1.010498265
Full,0,1,512,3489621044,3489621044,4007657472,3429828891.8064013,1.0,1.017432984
Full,0,1,1024,3489621044,3489621044,4007657472,3421110028.002513,1.0,1.020025961
Full,0,1,1024,3489621044,3489621044,4007657472,3282715472.956157,1.0,1.063028786
Full,0,1,1024,3489621044,3489621044,4007657472,3415981019.5080314,1.0,1.021557504
Full,0,1,2048,3489621044,3489621044,4007657472,3423322938.518819,1.0,1.019366594
Full,0,1,2048,3489621044,3489621044,4007657472,3412763093.685513,1.0,1.02252074
Full,0,1,2048,3489621044,3489621044,4007657472,3419863274.8162346,1.0,1.020397824
Full,0,1,4096,3489621044,3489621044,4007657472,3395702087.460141,1.0,1.027658185
Full,0,1,4096,3489621044,3489621044,4007657472,3398811314.402824,1.0,1.026718085
Full,0,1,4096,3489621044,3489621044,4007657472,3389970682.807661,1.0,1.029395641
Basic,0,1,32,3489621044,106893176,9693036544,17186758811.028416,32.645872960122354,0.203041253
Basic,0,1,32,3489621044,106893176,9693036544,16850786542.755993,32.645872960122354,0.207089505
Basic,0,1,32,3489621044,106893176,9693036544,17194190357.77536,32.645872960122354,0.202953496
Basic,0,1,64,3489621044,120453600,8596226048,24835511059.4043,28.97066624824829,0.14050933100000002
Basic,0,1,64,3489621044,120453600,8596226048,26548760964.48809,28.97066624824829,0.131441955
Basic,0,1,64,3489621044,120453600,8596226048,27696596944.036747,28.97066624824829,0.12599457800000002
Basic,0,1,128,3489621044,145635764,8046772224,37015948732.795876,23.96129184312172,0.094273446
Basic,0,1,128,3489621044,145635764,8046772224,36898117432.30873,23.96129184312172,0.094574501
Basic,0,1,128,3489621044,145635764,8046772224,35894713425.44807,23.96129184312172,0.09721824500000001
Basic,0,1,256,3489621044,186544572,7772045312,39831782093.61483,18.706634058481207,0.087608961
Basic,0,1,256,3489621044,186544572,7772045312,37140824724.62223,18.706634058481207,0.09395647700000001
Basic,0,1,256,3489621044,186544572,7772045312,37434833054.42785,18.706634058481207,0.093218555
Basic,0,1,512,3489621044,248476736,7633633280,35801025877.46276,14.044055391970378,0.097472655
Basic,0,1,512,3489621044,248476736,7633633280,35617080561.16364,14.044055391970378,0.097976055
Basic,0,1,512,3489621044,248476736,7633633280,35536899877.35383,14.044055391970378,0.098197115
Basic,0,1,1024,3489621044,337897464,7566524416,29254663588.697136,10.3274555620814,0.119284265
Basic,0,1,1024,3489621044,337897464,7566524416,29151141878.159588,10.3274555620814,0.119707868
Basic,0,1,1024,3489621044,337897464,7566524416,28856231770.638664,10.3274555620814,0.12093128
Basic,0,1,2048,3489621044,458496860,7532969984,22549076457.857403,7.6110031462374685,0.154756717
Basic,0,1,2048,3489621044,458496860,7532969984,22604924338.02517,7.6110031462374685,0.154374374
Basic,0,1,2048,3489621044,458496860,7532969984,22344578939.83629,7.6110031462374685,0.15617305
