Approach,Rank,Chkpt ID,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
List,0,0,256,5348897756,507979820,8065646592,12192392649.50384,10.529744579223639,0.4387078
List,0,0,512,5348897756,618040320,7325351936,17910393269.39401,8.654609712194828,0.29864769999999996
List,0,0,512,5348897756,618040320,7325351936,17586710505.50676,8.654609712194828,0.30414430000000003
List,0,0,512,5348897756,618040320,7325351936,17858101189.160606,8.654609712194828,0.29952219999999996
List,0,0,1024,5348897756,800487764,7090470912,17396260353.720963,6.682048116852914,0.307474
List,0,0,1024,5348897756,800487764,7071596544,17485629427.67712,6.682048116852914,0.30590249999999997
List,0,0,1024,5348897756,800487764,7090470912,17516814714.7986,6.682048116852914,0.3053579
List,0,0,2048,5348897756,1011600536,7046430720,9584958792.311531,5.287559234745205,0.5580512
List,0,0,2048,5348897756,1011600536,7067402240,8736784125.765055,5.287559234745205,0.6122273
List,0,0,2048,5348897756,1011600536,7067402240,9257878747.33608,5.287559234745205,0.5777671
List,0,0,4096,5348897756,1200695336,7172259840,12797545035.108389,4.454833458268718,0.41796279999999997
List,0,0,4096,5348897756,1200695336,7155482624,13128880889.393753,4.454833458268718,0.4074146
List,0,0,4096,5348897756,1200695336,7155482624,13031903205.875359,4.454833458268718,0.4104464
TreeLowOffset,0,0,32,5348897756,1357084440,28974252032,1858062616.0660007,3.9414627405204055,2.87875
TreeLowOffset,0,0,32,5348897756,1357084440,28974252032,1870526511.6968718,3.9414627405204055,2.859568
TreeLowOffset,0,0,32,5348897756,1357084440,28974252032,1865967902.924557,3.9414627405204055,2.866554
TreeLowOffset,0,0,64,5348897756,743852780,17733517312,3569327457.5212555,7.190801593831511,1.498573
TreeLowOffset,0,0,64,5348897756,743852780,17733517312,3538477966.2855787,7.190801593831511,1.511638
TreeLowOffset,0,0,64,5348897756,743852780,17733517312,3615620099.1492414,7.190801593831511,1.479386
