Full,3,256,0.493203,0
Full,3,256,0.490988,0
Full,3,256,0.492203,0
Full,3,256,0.489787,0
Full,3,256,0.484727,0
Basic,3,256,0.0495003,1.38882
Basic,3,256,0.0464481,1.38678
Basic,3,256,0.0474649,1.38363
Basic,3,256,0.0472453,1.38016
Basic,3,256,0.0353485,1.80353
List,3,256,0.0516941,0.284109
List,3,256,0.0505354,0.276436
List,3,256,0.0506528,0.276639
List,3,256,0.0507526,0.277782
List,3,256,0.0409919,0.843557
TreeLowOffset,3,256,0.0136564,0.683392
TreeLowOffset,3,256,0.013649,0.683705
TreeLowOffset,3,256,0.013626,0.683736
TreeLowOffset,3,256,0.0135828,0.68267
TreeLowOffset,3,256,0.013734,1.26166
TreeLowRoot,3,256,0.0136085,0.683057
TreeLowRoot,3,256,0.0136224,0.686346
TreeLowRoot,3,256,0.0136058,0.683723
TreeLowRoot,3,256,0.0136539,0.68318
TreeLowRoot,3,256,0.0136451,1.2592
