TreeLowOffset,5,128,1.4998e-05,0.716956
TreeLowRoot,5,128,1.4227e-05,0.724003
List,5,128,1.4377e-05,0.451201
Full,5,128,0.447547,0
TreeLowOffset,5,128,1.3986e-05,0.714624
TreeLowRoot,5,128,1.4297e-05,0.724844
List,5,128,1.8805e-05,0.451481
Full,5,128,0.449044,0
TreeLowOffset,5,128,1.4147e-05,0.713648
TreeLowRoot,5,128,1.4026e-05,0.72268
List,5,128,1.3816e-05,0.451513
Full,5,128,0.448615,0
TreeLowRoot,5,128,1.4337e-05,0.724751
TreeLowOffset,5,128,1.4297e-05,0.714539
List,5,128,1.4457e-05,0.45219
Full,5,128,0.423891,0
TreeLowOffset,5,128,1.4287e-05,0.715011
TreeLowRoot,5,128,1.3816e-05,0.72333
Full,5,128,0.450071,0
List,5,128,1.4457e-05,0.460158
