Full,7,128,4898947364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TreeLowRoot,7,128,2479616,33336,32,14776,64,10760,1144,576,464,336,344,232,4608,0,0
List,7,128,2495360,118020,32,77980,64,11184,1240,592,512,336,344,240,25496,0,0
TreeLowOffset,7,128,2479616,33396,32,14844,64,10760,1144,576,464,336,344,232,4600,0,0
Full,7,128,4898947364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TreeLowRoot,7,128,2479616,33336,32,14776,64,10760,1144,576,464,336,344,232,4608,0,0
List,7,128,2495360,118020,32,77980,64,11184,1240,592,512,336,344,240,25496,0,0
TreeLowOffset,7,128,2479616,33396,32,14844,64,10760,1144,576,464,336,344,232,4600,0,0
